Year,NY,NJ,CT
1990,31591,38734,38870
1991,31794,40049,42154
1992,31051,39000,40841
1993,31697,40500,39516
1994,31899,42280,41097
1995,33028,43924,40243
1996,35410,47468,42119
1997,35798,48021,43985
1998,37394,49826,46508
1999,39989,49734,50593
2000,40744,50405,50172
2001,42114,51771,53347
2002,41966,54568,53387
2003,42788,56045,54965
2004,44649,55275,55100
2005,47176,63368,56835
2006,48222,68059,62404
2007,48944,60508,64141
2008,50461,65306,64682
2009,50216,64777,64851
2010,49781,62968,65998
2011,50636,62338,65415
2012,47680,66692,64247
2013,53843,61782,67781
2014,54310,65243,70161
2015,58005,68357,72889
2016,61437,68468,75923
2017,62447,72997,72780
2018,67274,74176,72812
2019,71855,87726,87291
